,id_mutation,num_ordre,Distance_Complete,DPE_Complete,Date_dpe_Complete,DPE1,DPE2,DPE3,DPE4,DPE5,DPE6,DPE7,DPE1old,DPE2old,DPE3old,DPE4old,DPE5old,DPE6old,DPE7old
0,2018-1389149,1,54.79396389243757,6,20161206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018-1389150,1,8.290810260449582,7,20170308,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2018-1389152,1,12.230621902273615,7,20141211,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2018-1389153,1,25.575284417227035,4,20161215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018-1389155,1,13.168034280775291,5,20150429,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2018-1389156,1,10.407733058342327,4,20151105,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,2018-1389157,1,10.997319228569626,7,20170112,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2018-1389158,1,11.713757886215355,6,20160211,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2018-1389159,1,11.713757886215355,6,20160211,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2018-1389161,1,22.05102273227419,6,20151012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018-1389164,1,9.454976557613458,7,20170825,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2018-1389166,1,12.958140498688332,6,20170328,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2018-1389169,1,7.413086127187761,5,20170329,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,2018-1389172,1,14.379281529891994,5,20160609,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,2018-1389174,1,26.691971970010925,4,20171108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018-1389175,1,11.572723336302072,7,20140522,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2018-1389177,1,22.078170668100775,3,20140207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2018-1389178,1,34.93602634593851,5,20160428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2018-1389178,2,34.93602634593851,5,20160428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018-1389181,1,20.38212782404211,4,20171004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2018-1389184,1,8.838922572660683,1,20150901,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2018-1389186,1,15.775511485264344,2,20171215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018-1389188,1,34.93602634593851,5,20160428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2018-1389189,1,15.870263314984316,5,20140519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2018-1389190,1,8.705484595116614,5,20151204,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,2018-1389191,1,22.247348864028062,4,20150831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2018-1389192,1,25.021597621001543,7,20171027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2018-1389193,1,11.28583229642345,1,20171006,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,2018-1389194,1,11.99925067923148,3,20161215,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,2018-1389196,1,21.976774343394226,5,20161208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2018-1389197,1,14.72128400551463,5,20170606,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,2018-1389197,2,14.72128400551463,5,20170606,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,2018-1389199,1,13.599950421408478,2,20170630,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,2018-1389200,1,27.46350973004004,4,20161003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2018-1389201,1,24.082177317487055,4,20171016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018-1389202,1,10.921975424935189,3,20160323,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2018-1389202,2,10.921975424935189,3,20160323,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,2018-1389202,3,10.921975424935189,3,20160323,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,2018-1389202,4,10.921975424935189,3,20160323,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2018-1389202,5,10.921975424935189,3,20160323,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,2018-1389203,1,9.575795791304104,5,20160118,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,2018-1389204,1,17.019929290226695,5,20130719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2018-1389206,1,26.112315856930426,4,20171123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2018-1389207,1,11.862107551036475,1,20161114,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,2018-1389211,1,4.927779645403524,1,20131017,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,2018-1389212,1,25.16885206463975,6,20140814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2018-1389213,1,34.58454345532509,3,20171109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2018-1389215,1,24.367139990986253,4,20170727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2018-1389216,1,24.184617319356473,7,20160704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2018-1389218,1,25.64593639923782,5,20170623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2018-1389219,1,15.426754542432604,5,20151021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2018-1389220,1,7.443786786909696,6,20150211,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,2018-1389223,1,2.779999778270912,4,20161024,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,2018-1389225,1,25.294436434623208,4,20171031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2018-1389227,1,6.20069913306328,3,20180109,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,2018-1389230,1,13.601571080677912,4,20171205,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,2018-1389233,1,19.43693311391253,3,20170622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2018-1389234,1,20.64076064245926,4,20150331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2018-1389234,2,20.64076064245926,4,20150331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2018-1389234,3,20.64076064245926,4,20150331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2018-1389235,1,38.115087083961264,5,20170919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2018-1389236,1,9.674849383352646,6,20161114,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,2018-1389237,1,9.492510505597775,6,20170126,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,2018-1389238,1,23.810015912103392,4,20140620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2018-1389239,1,9.674849383352646,6,20161114,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,2018-1389240,1,14.095681960013067,4,20151117,0,0,0,0,0,0,0,0,0,0,1,0,0,0
