id_mutation,date_mutation,longitude,latitude,num_ordre,C_QUINSEE,C_QU,C_AR,L_QU
2018-1389149,2018-01-04,2.315005,48.874705,1,7510804,32,8,Europe
2018-1389150,2018-01-09,2.365335,48.860248,1,7510303,11,3,Archives
2018-1389152,2018-01-03,2.35714,48.864804,1,7510301,9,3,Arts-et-Métiers
2018-1389153,2018-01-03,2.307897,48.875379,1,7510802,30,8,Faubourg-du-Roule
2018-1389155,2018-01-09,2.353682,48.866408,1,7510301,9,3,Arts-et-Métiers
2018-1389156,2018-01-10,2.325371,48.882013,1,7510804,32,8,Europe
2018-1389157,2018-01-03,2.348449,48.859804,1,7510102,2,1,Halles
2018-1389158,2018-01-05,2.331097,48.866507,1,7510104,4,1,Place-Vendôme
2018-1389159,2018-01-05,2.331097,48.866507,1,7510104,4,1,Place-Vendôme
2018-1389161,2018-01-11,2.326677,48.880081,1,7510804,32,8,Europe
2018-1389164,2018-01-11,2.362722,48.861726,1,7510302,10,3,Enfants-Rouges
2018-1389166,2018-01-15,2.298865,48.869982,1,7510801,29,8,Champs-Elysées
2018-1389169,2018-01-08,2.35815,48.863513,1,7510301,9,3,Arts-et-Métiers
2018-1389172,2018-01-12,2.315013,48.880843,1,7510804,32,8,Europe
2018-1389174,2018-01-09,2.321493,48.876046,1,7510804,32,8,Europe
2018-1389175,2018-01-12,2.356991,48.862998,1,7510304,12,3,Sainte-Avoie
2018-1389177,2018-01-15,2.3157,48.880864,1,7510804,32,8,Europe
2018-1389178,2018-01-08,2.354479,48.861846,1,7510304,12,3,Sainte-Avoie
2018-1389178,2018-01-08,2.354479,48.861846,2,7510304,12,3,Sainte-Avoie
2018-1389181,2018-01-12,2.35474,48.861073,1,7510304,12,3,Sainte-Avoie
2018-1389184,2018-01-12,2.354382,48.868728,1,7510301,9,3,Arts-et-Métiers
2018-1389186,2018-01-23,2.358344,48.86529,1,7510301,9,3,Arts-et-Métiers
2018-1389188,2018-01-04,2.354479,48.861846,1,7510304,12,3,Sainte-Avoie
2018-1389189,2018-01-12,2.304931,48.869093,1,7510801,29,8,Champs-Elysées
2018-1389190,2018-01-16,2.332345,48.864465,1,7510103,3,1,Palais-Royal
2018-1389191,2018-01-18,2.324251,48.87945,1,7510804,32,8,Europe
2018-1389192,2018-01-12,2.298073,48.87711,1,7510802,30,8,Faubourg-du-Roule
2018-1389193,2018-01-03,2.3413,48.862688,1,7510102,2,1,Halles
2018-1389194,2018-01-10,2.333161,48.864135,1,7510103,3,1,Palais-Royal
2018-1389196,2018-01-11,2.357892,48.867749,1,7510301,9,3,Arts-et-Métiers
2018-1389197,2018-01-23,2.316546,48.876786,1,7510804,32,8,Europe
2018-1389197,2018-01-23,2.316546,48.876786,2,7510804,32,8,Europe
2018-1389199,2018-01-15,2.356268,48.862925,1,7510304,12,3,Sainte-Avoie
2018-1389200,2018-01-08,2.312438,48.873682,1,7510804,32,8,Europe
2018-1389201,2018-01-09,2.311579,48.87344,1,7510804,32,8,Europe
2018-1389202,2018-01-08,2.307638,48.877992,1,7510804,32,8,Europe
2018-1389202,2018-01-08,2.307638,48.877992,2,7510804,32,8,Europe
2018-1389202,2018-01-08,2.307638,48.877992,3,7510804,32,8,Europe
2018-1389202,2018-01-08,2.307638,48.877992,4,7510804,32,8,Europe
2018-1389202,2018-01-08,2.307638,48.877992,5,7510804,32,8,Europe
2018-1389203,2018-01-18,2.362828,48.862505,1,7510302,10,3,Enfants-Rouges
2018-1389204,2018-01-11,2.304356,48.868747,1,7510801,29,8,Champs-Elysées
2018-1389206,2018-01-10,2.301943,48.878276,1,7510802,30,8,Faubourg-du-Roule
2018-1389207,2018-01-08,2.355672,48.867701,1,7510301,9,3,Arts-et-Métiers
2018-1389211,2018-01-23,2.361963,48.863554,1,7510302,10,3,Enfants-Rouges
2018-1389212,2018-01-04,2.358714,48.863313,1,7510302,10,3,Enfants-Rouges
2018-1389213,2018-01-12,2.326531,48.873275,1,7510803,31,8,Madeleine
2018-1389215,2018-01-24,2.336333,48.866621,1,7510103,3,1,Palais-Royal
2018-1389216,2018-01-15,2.333387,48.864577,1,7510103,3,1,Palais-Royal
2018-1389218,2018-01-29,2.366,48.858213,1,7510303,11,3,Archives
2018-1389219,2018-01-17,2.309161,48.868072,1,7510801,29,8,Champs-Elysées
2018-1389220,2018-01-25,2.358309,48.867321,1,7510301,9,3,Arts-et-Métiers
2018-1389223,2018-01-09,2.365932,48.861209,1,7510302,10,3,Enfants-Rouges
2018-1389225,2018-01-12,2.366707,48.861521,1,7510302,10,3,Enfants-Rouges
2018-1389227,2018-01-19,2.337476,48.866524,1,7510103,3,1,Palais-Royal
2018-1389230,2018-01-15,2.321661,48.880516,1,7510804,32,8,Europe
2018-1389233,2018-01-15,2.325896,48.871222,1,7510803,31,8,Madeleine
2018-1389234,2018-01-17,2.31397,48.87091,1,7510803,31,8,Madeleine
2018-1389234,2018-01-17,2.31397,48.87091,2,7510803,31,8,Madeleine
2018-1389234,2018-01-17,2.31397,48.87091,3,7510803,31,8,Madeleine
2018-1389235,2018-01-04,2.355952,48.861719,1,7510304,12,3,Sainte-Avoie
2018-1389236,2018-01-19,2.349593,48.863227,1,7510102,2,1,Halles
2018-1389237,2018-01-08,2.357808,48.864506,1,7510301,9,3,Arts-et-Métiers
2018-1389238,2018-01-09,2.306646,48.871446,1,7510802,30,8,Faubourg-du-Roule
2018-1389239,2018-01-19,2.349593,48.863227,1,7510102,2,1,Halles
2018-1389240,2018-01-15,2.359834,48.864253,1,7510302,10,3,Enfants-Rouges
2018-1389241,2018-01-23,2.356334,48.864762,1,7510301,9,3,Arts-et-Métiers
2018-1389242,2018-01-26,2.330058,48.864902,1,7510104,4,1,Place-Vendôme
2018-1389244,2018-01-15,2.311192,48.876628,1,7510804,32,8,Europe
2018-1389248,2018-01-30,2.340218,48.862656,1,7510102,2,1,Halles
2018-1389249,2018-01-25,2.343427,48.861484,1,7510102,2,1,Halles
2018-1389251,2018-01-29,2.333096,48.866973,1,7510104,4,1,Place-Vendôme
2018-1389252,2018-01-19,2.367399,48.858393,1,7510303,11,3,Archives
2018-1389253,2018-01-15,2.340218,48.862656,1,7510102,2,1,Halles
2018-1389254,2018-01-11,2.323092,48.876198,1,7510804,32,8,Europe
2018-1389256,2018-01-09,2.333143,48.866005,1,7510103,3,1,Palais-Royal
2018-1389258,2018-01-29,2.357953,48.864738,1,7510301,9,3,Arts-et-Métiers
2018-1389259,2018-01-15,2.341171,48.864816,1,7510102,2,1,Halles
2018-1389260,2018-01-15,2.355545,48.863361,1,7510304,12,3,Sainte-Avoie
2018-1389261,2018-01-09,2.352292,48.864853,1,7510301,9,3,Arts-et-Métiers
2018-1389261,2018-01-09,2.352292,48.864853,2,7510301,9,3,Arts-et-Métiers
2018-1389262,2018-01-29,2.36061,48.859121,1,7510303,11,3,Archives
2018-1389263,2018-01-24,2.325605,48.879793,1,7510804,32,8,Europe
2018-1389266,2018-01-25,2.307488,48.874534,1,7510802,30,8,Faubourg-du-Roule
2018-1389267,2018-01-16,2.313628,48.874939,1,7510804,32,8,Europe
2018-1389268,2018-01-26,2.330067,48.86532,1,7510104,4,1,Place-Vendôme
2018-1389269,2018-01-15,2.357634,48.862371,1,7510304,12,3,Sainte-Avoie
2018-1389273,2018-01-30,2.354382,48.86338,1,7510304,12,3,Sainte-Avoie
2018-1389275,2018-01-12,2.321159,48.879575,1,7510804,32,8,Europe
2018-1389276,2018-01-24,2.317473,48.876358,1,7510804,32,8,Europe
2018-1389278,2018-01-24,2.323079,48.87544,1,7510804,32,8,Europe
2018-1389282,2018-01-30,2.360813,48.866318,1,7510301,9,3,Arts-et-Métiers
2018-1389283,2018-01-30,2.361818,48.863456,1,7510302,10,3,Enfants-Rouges
2018-1389288,2018-01-22,2.356274,48.864259,1,7510301,9,3,Arts-et-Métiers
2018-1389289,2018-01-31,2.331921,48.86529,1,7510104,4,1,Place-Vendôme
2018-1389290,2018-01-24,2.362104,48.863618,1,7510302,10,3,Enfants-Rouges
2018-1389291,2018-01-18,2.321145,48.874093,1,7510803,31,8,Madeleine
2018-1389292,2018-02-01,2.342212,48.861784,1,7510102,2,1,Halles
2018-1389293,2018-01-25,2.315275,48.872507,1,7510803,31,8,Madeleine
2018-1389294,2018-01-12,2.322366,48.870234,1,7510803,31,8,Madeleine
2018-1389298,2018-01-31,2.320183,48.869787,1,7510803,31,8,Madeleine
2018-1389299,2018-01-22,2.326105,48.879201,1,7510804,32,8,Europe
2018-1389300,2018-01-24,2.361446,48.859365,1,7510303,11,3,Archives
2018-1389301,2018-02-07,2.362908,48.863415,1,7510302,10,3,Enfants-Rouges
2018-1389301,2018-02-07,2.362908,48.863415,2,7510302,10,3,Enfants-Rouges
2018-1389302,2018-01-26,2.305181,48.868965,1,7510801,29,8,Champs-Elysées
2018-1389303,2018-01-18,2.362501,48.861348,1,7510303,11,3,Archives
2018-1389304,2018-01-16,2.364669,48.857628,1,7510303,11,3,Archives
2018-1389309,2018-02-05,2.307472,48.873905,1,7510802,30,8,Faubourg-du-Roule
2018-1389310,2018-02-06,2.346015,48.863599,1,7510102,2,1,Halles
2018-1389310,2018-02-06,2.346015,48.863599,2,7510102,2,1,Halles
2018-1389314,2018-02-07,2.316441,48.880103,1,7510804,32,8,Europe
2018-1389317,2018-02-06,2.360101,48.861319,1,7510303,11,3,Archives
2018-1389318,2018-02-09,2.299042,48.877841,1,7510802,30,8,Faubourg-du-Roule
2018-1389321,2018-02-06,2.36045,48.866659,1,7510301,9,3,Arts-et-Métiers
2018-1389322,2018-02-09,2.341817,48.861395,1,7510102,2,1,Halles
2018-1389323,2018-02-01,2.363569,48.866713,1,7510302,10,3,Enfants-Rouges
2018-1389324,2018-02-12,2.345038,48.858114,1,7510101,1,1,Saint-Germain-l'Auxerrois
2018-1389325,2018-01-26,2.355635,48.867972,1,7510301,9,3,Arts-et-Métiers
2018-1389327,2018-01-24,2.365064,48.864411,1,7510302,10,3,Enfants-Rouges
2018-1389328,2018-01-18,2.362678,48.866508,1,7510302,10,3,Enfants-Rouges
2018-1389331,2018-02-01,2.347777,48.859956,1,7510102,2,1,Halles
2018-1389334,2018-01-23,2.308756,48.872593,1,7510802,30,8,Faubourg-du-Roule
2018-1389336,2018-02-02,2.331251,48.867551,1,7510104,4,1,Place-Vendôme
