name,arrondissement,address,url,latitude,longitude,lambert93_x,lambert93_y
Zelal,17,"Zelal, 152 Avenue de Clichy - 75017 Paris 17",https://www.kebab-frites.com/kebab/zelal-paris-17.html,48.891188,2.319408,650096.186,6865901.428
Casse Croute Grec - Chez Copain,5,"Casse Croute Grec - Chez Copain, 4 rue de l'Ecole Polytechnique - 75005 Paris 05",https://www.kebab-frites.com/kebab/casse-croute-grec-paris-05.html,48.847518,2.348202,652167.349,6861027.839
Streaters,20,"Streaters, 39 Rue Des Pyrénées - 75020 Paris 20",https://www.kebab-frites.com/kebab/streaters-paris-20.html,48.8506041,2.4062394,656428.960,6861337.394
Mondial Kebab,17,"Mondial Kebab, 190 Avenue de clichy - 75017 Paris 17",https://www.kebab-frites.com/kebab/mondial-kebab-paris-17.html,48.893522,2.315358,649801.481,6866163.523
Le Bosphore,20,"Le Bosphore, 35 rue d'avron - 75020 Paris 20",https://www.kebab-frites.com/kebab/le-bosphore-paris-20.html,48.851899,2.401111,656053.729,6861484.218
La Voie Lactée,5,"La Voie Lactée, 3 rue des ecoles - 75005 Paris 05",https://www.kebab-frites.com/kebab/la-voie-lactee-paris-05.html,48.847501,2.35227,652465.859,6861023.492
Easy Food,9,"Easy Food, 18 rue gérando - 75009 Paris 09",https://www.kebab-frites.com/kebab/easy-food-paris-09.html,48.882825,2.346445,652070.907,6864954.763
L'atelier Dürüm,18,"L'atelier Dürüm, 41 rue de Clignancourt - 75018 Paris 18",https://www.kebab-frites.com/kebab/latelier-durum-paris-18.html,48.886335,2.34743,652146.367,6865344.457
Impact Berliner Kebap,11,"Impact Berliner Kebap, 119 Rue du Chemin Vert - 75011 Paris 11",https://www.kebab-frites.com/kebab/impact-berliner-kebap-paris-11.html,48.8618058,2.3829859,654732.350,6862596.011
Restaurant Bodrum,12,"Restaurant Bodrum, 1 Rue Abel - 75012 Paris 12",https://www.kebab-frites.com/kebab/restaurant-bodrum-paris-12.html,48.846178,2.37437,654086.484,6860863.310
Istanbul Lyon,12,"Istanbul Lyon, 4 rue michel chasles - 75012 Paris 12",https://www.kebab-frites.com/kebab/istanbul-lyon-paris-12.html,48.846342,2.374033,654061.897,6860881.741
Le Nilu's,12,"Le Nilu's, 192 rue Faubourg Saint Antoine - 75012 Paris 12",https://www.kebab-frites.com/kebab/le-nilus-paris-12.html,48.850086,2.383757,654778.751,6861292.426
